iter	Passed	Remaining
1311	9905	5194
1312	9911	5186
1313	9918	5178
1314	9926	5170
1315	9933	5163
1316	9940	5155
1317	9948	5147
1318	9956	5140
1319	9964	5133
1320	9971	5125
1321	9981	5118
1322	9991	5113
1323	9999	5105
1324	10007	5097
1325	10013	5090
1326	10020	5082
1327	10028	5074
1328	10035	5066
1329	10042	5059
1330	10049	5051
1331	10056	5043
1332	10063	5035
1333	10070	5027
1334	10077	5019
1335	10084	5012
1336	10091	5004
1337	10098	4996
1338	10106	4988
1339	10114	4981
1340	10121	4973
1341	10128	4966
1342	10136	4958
1343	10143	4950
1344	10150	4942
1345	10156	4935
1346	10163	4927
1347	10171	4919
1348	10178	4911
1349	10185	4904
1350	10193	4896
1351	10200	4888
1352	10207	4881
1353	10215	4873
1354	10222	4866
1355	10230	4858
1356	10236	4850
1357	10243	4842
1358	10251	4835
1359	10257	4827
1360	10263	4818
1361	10271	4811
1362	10278	4803
1363	10284	4795
1364	10292	4788
1365	10299	4780
1366	10305	4772
1367	10313	4764
1368	10320	4756
1369	10327	4749
1370	10335	4741
1371	10342	4734
1372	10349	4726
1373	10357	4718
1374	10364	4711
1375	10371	4703
1376	10378	4695
1377	10385	4687
1378	10393	4680
1379	10399	4672
1380	10408	4665
1381	10414	4657
1382	10421	4649
1383	10428	4641
1384	10435	4633
1385	10442	4626
1386	10449	4618
1387	10458	4611
1388	10465	4603
1389	10472	4596
1390	10479	4588
1391	10486	4580
1392	10494	4573
1393	10501	4565
1394	10508	4557
1395	10515	4549
1396	10523	4542
1397	10531	4535
1398	10538	4527
1399	10546	4520
1400	10554	4512
1401	10561	4504
1402	10568	4497
1403	10575	4489
1404	10582	4481
1405	10588	4473
1406	10594	4465
1407	10601	4457
1408	10608	4449
1409	10615	4442
1410	10622	4434
1411	10629	4426
1412	10636	4418
1413	10643	4410
1414	10650	4403
1415	10657	4395
1416	10665	4388
1417	10672	4380
1418	10680	4372
1419	10687	4365
1420	10694	4357
1421	10700	4349
1422	10707	4341
1423	10714	4334
1424	10722	4326
1425	10729	4319
1426	10737	4311
1427	10743	4303
1428	10750	4295
1429	10757	4287
1430	10763	4279
1431	10771	4272
1432	10777	4264
1433	10785	4256
1434	10792	4249
1435	10800	4241
1436	10807	4234
1437	10813	4226
1438	10821	4218
1439	10828	4211
1440	10835	4203
1441	10843	4195
1442	10850	4188
1443	10857	4180
1444	10864	4172
1445	10871	4165
1446	10878	4157
1447	10886	4150
1448	10893	4142
1449	10899	4134
1450	10906	4126
1451	10913	4119
1452	10921	4111
1453	10928	4103
1454	10936	4096
1455	10942	4088
1456	10949	4080
1457	10957	4073
1458	10964	4065
1459	10971	4057
1460	10978	4050
1461	10985	4042
1462	10992	4034
1463	10999	4027
1464	11006	4019
1465	11014	4012
1466	11022	4004
1467	11029	3997
1468	11036	3989
1469	11043	3981
1470	11051	3974
1471	11058	3966
1472	11064	3958
1473	11072	3951
1474	11078	3943
1475	11085	3935
1476	11092	3927
1477	11099	3920
1478	11105	3912
1479	11112	3904
1480	11120	3896
1481	11127	3889
1482	11134	3881
1483	11141	3873
1484	11148	3866
1485	11154	3858
1486	11162	3850
1487	11169	3843
1488	11176	3835
1489	11184	3828
1490	11191	3820
1491	11198	3812
1492	11205	3805
1493	11213	3797
1494	11220	3790
1495	11228	3782
1496	11234	3774
1497	11241	3767
1498	11247	3759
1499	11254	3751
1500	11261	3743
1501	11268	3736
1502	11276	3728
1503	11283	3721
1504	11289	3713
1505	11297	3705
1506	11305	3698
1507	11313	3691
1508	11320	3683
1509	11327	3675
1510	11335	3668
1511	11342	3660
1512	11349	3653
1513	11358	3645
1514	11364	3638
1515	11371	3630
1516	11378	3622
1517	11385	3615
1518	11392	3607
1519	11398	3599
1520	11405	3592
1521	11413	3584
1522	11421	3577
1523	11428	3569
1524	11435	3561
1525	11442	3554
1526	11450	3546
1527	11457	3539
1528	11465	3531
1529	11472	3524
1530	11479	3516
1531	11485	3508
1532	11492	3501
1533	11500	3493
1534	11507	3486
1535	11515	3478
1536	11522	3471
1537	11529	3463
1538	11536	3455
1539	11542	3447
1540	11549	3440
1541	11557	3432
1542	11563	3424
1543	11570	3417
1544	11577	3409
